Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
2,4,2660,222700,5440,218597,99,503298,610250,647876,708602
1,15,2752,37211,52,24885,20,64755,68593,69180,70130
