Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,3662,33,150,12,64,3,258,288,306,371
2,7763,34,142,18,50,4,241,287,310,361
