Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,9,16297,8814,47,18243,60569,103810,108211,110739,111877
2,18,14758,11985,4901,16686,62517,110862,115880,118125,121291
