Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,4319,32,105,10,71,3,226,234,239,265
2,9863,34,89,12,54,3,186,235,250,291
