Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,4400,31,109,11,63,3,215,240,250,291
2,10315,33,88,13,46,3,178,213,230,279
